,vl_administracao,vl_agropecuaria,vl_industria,vl_servicos,vl_subsidios
vl_administracao,5656,110,4340,1034,0
vl_agropecuaria,3534,222,6606,778,0
vl_industria,2102,7,8783,248,0
vl_servicos,5735,739,2970,1696,0
vl_subsidios,478,1,10644,17,0
